Team,Group,Fifa
Russia,A,66
Saudi,A,67
Egypt,A,46
Uruguay,A,17
Portugal,B,4
Spain,B,8
Morocco,B,42
Iran,B,36
France,C,7
Australia,C,40
Peru,C,11
Denmark,C,12
Argentina,D,5
Iceland,D,22
Croatia,D,18
Nigeria,D,47
Brazil,E,2
Switzerland,E,6
Costa Rica,E,25
Serbia,E,35
Germany,F,1
Mexico,F,15
Sweden,F,23
Korea,F,61
Belgium,G,3
Panama,G,55
Tunisia,G,14
England,G,13
Poland,H,10
Colombia,H,16
Senegal,H,28
Japan,H,60
